chapter,section,label,sheet
F2 SC Chp 6 6.1,A,Properties of Acids and Alkalis,F2 SC Chp 6 6.1 A.csv
F2 SC Chp 6 6.1,B,Indicator / Penunjuk,F2 SC Chp 6 6.1 B.csv
F2 SC Chp 6 6.1,C,分类,F2 SC Chp 6 6.1 C.csv
F2 SC Chp 6 6.2,A,Neutralisation / Peneutralan,F2 SC Chp 6 6.2.csv
F2 SC Chp 7 7.2,A,关系,F2 SC Chp 7 7.2 A.csv
F2 SC Chp 7 7.2,B,好处&坏处,F2 SC Chp 7 7.2 B.csv
F2 SC Chp 7 7.2,C,计算  V=IR,F2 SC Chp 7 7.2 C.csv
F2 SC Chp 7 7.3,A,Magnetism,F2 SC Chp 7 7.3.csv
F2 SC Chp 7 7.2C,A,计算  V=IR,F2 SC Chp 7 7.2 C.csv
F2 SC Chp 8 8.1,A,Force,F2 SC Chp 8 8.1.csv
F2 SC Chp 8 8.2 力的效应,A,Effects of Force,F2 SC Chp 8 8.2 A.csv
F2 SC Chp 8 8.2 杠杆,A,Lever,F2 SC Chp 8 8.2 B.csv
F2 SC Chp 8 8.2 压力,A,Pressure,F2 SC Chp 8 8.2 C.csv
